#SampleID	anonymized_name	collection_timestamp	contributor	country	depth	description	dna_extracted	elevation	emp_status	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_status	host_subject_id	host_taxid	lane	latitude	life_stage	longitude	name_in_metadata	notes	observations	old_title	ph	physical_specimen_location	physical_specimen_remaining	preprocessing_of_the_sponge_tissue	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity_ppt	sample_type	sampling_site	scientific_name	scientific_order	study_id	taxon_id	title	water_temperature_degrees_c
10793.Webster.4.D12.330.1182195	Webster.4.D12.330.1182195	12/22/10	Webster	Australia	Missing:not provided	Coscinoderma larvae 8	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D12.330	1162776.0	EMP_Thomas_sponges_16S_L008	-18.68543	Adult	146.51218	Webster.4.D12.330	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Fantome Island, Juno Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.4
10793.Webster.2.G4.169.1182328	Webster.2.G4.169.1182328	1/14/12	Webster	Australia	1	Rhopaloeides oil + disp 50% 2h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.G4.169	476028.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.2.G4.169	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.3.B7.207.1182281	Webster.3.B7.207.1182281	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.B7.207	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.B7.207	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.4.D9.327.1182357	Webster.4.D9.327.1182357	12/19/10	Webster	Australia	Missing:not provided	Coscinoderma larvae 2	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D9.327	1162776.0	EMP_Thomas_sponges_16S_L008	-18.5996	Adult	146.49222	Webster.4.D9.327	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island, Little Pioneer Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.6
10793.Webster.4.A3.285.1181135	Webster.4.A3.285.1181135	10/29/98	Webster	Australia	8	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.4.A3.285	593584.0	EMP_Thomas_sponges_16S_L008	-16.75408	Adult	145.98733	Webster.4.A3.285	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Green Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	26.8
10793.Webster.2.G8.173.1181954	Webster.2.G8.173.1181954	1/14/12	Webster	Australia	1	Rhopaloeides oil + disp 1.6% 24h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.G8.173	476028.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.2.G8.173	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.5.C7.407.1181376	Webster.5.C7.407.1181376	12/4/12	Webster	Papua New Guinea	8	Stylissa massa Control Site	True	0		ocean biome	reef	organic material feature	host-associated	Papua New Guinea	Stylissa massa	Stylissa massa	Healthy	Webster.5.C7.407	279589.0	EMP_Thomas_sponges_16S_L008	-18.560283	Larvae	146.484617	Webster.5.C7.407	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	C.matthewsii larvae Copper Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.2.C7.124.1182071	Webster.2.C7.124.1182071	1/14/12	Webster	Australia	1	Rhopaloeides disp 0% 2h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.C7.124	476028.0	EMP_Thomas_sponges_16S_L008	-18.82257	Adult	147.63755	Webster.2.C7.124	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Verongiida	1740	1163772	SpongeMicrobiome Project	23.5
10793.Webster.5.E5.429.1181533	Webster.5.E5.429.1181533	9/27/12	Webster	Australia	12	Seawater Davies Reef	True	0		ocean biome	reef	ocean water	water	Australia	Seawater	marine metagenome	Healthy	Webster.5.E5.429	408172.0	EMP_Thomas_sponges_16S_L008	-18.81723	Larvae	147.63252	Webster.5.E5.429	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.5
10793.Webster.3.E11.247.1181877	Webster.3.E11.247.1181877	4/21/12	Webster	Australia	1.5	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.E11.247	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.E11.247	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.1.G7.79.1181934	Webster.1.G7.79.1181934	7/1/10	Webster	Australia	8	Coelocarteria singaporensis (oceanapia)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coelocarteria singaporensis	Coelocarteria singaporensis	Healthy	Webster.1.G7.79	281036.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.G7.79			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Free-living	Saline	Water (saline)	10793	Missing: Not provided	seawater	Spain	marine metagenome	Not applicable	1740	408172	SpongeMicrobiome Project	18.5
10793.Webster.3.A1.189.1181641	Webster.3.A1.189.1181641	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.A1.189	593584.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.3.A1.189	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.5.A4.380.1182358	Webster.5.A4.380.1182358	5/21/09	Webster	Australia	12	Iotrochota sp.	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Iotrochota sp.	Iotrochota sp.	Healthy	Webster.5.A4.380	283496.0	EMP_Thomas_sponges_16S_L008	-18.68543	Adult	146.51218	Webster.5.A4.380	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.4
10793.Webster.5.D4.416.1181442	Webster.5.D4.416.1181442	7/23/12	Webster	Australia	1	Suberites diversicolour	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Suberites diversicolour	Suberites diversicolor	Healthy	Webster.5.D4.416	703610.0	EMP_Thomas_sponges_16S_L008	-18.81723	Larvae	147.63252	Webster.5.D4.416	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.5
10793.Webster.2.E3.144.1182244	Webster.2.E3.144.1182244	1/14/12	Webster	Australia	1	Rhopaloeides oil 100% 2h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.E3.144	476028.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.2.E3.144	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.2.A6.100.1181158	Webster.2.A6.100.1181158	7/6/10	Webster	Australia	8	Ircinia blue (spongia)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Blue Ircinia	Ircinia sp.	Healthy	Webster.2.A6.100	275431.0	EMP_Thomas_sponges_16S_L008	13.4513	Adult	144.65636999999995	Webster.2.A6.100	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Guam	sponge metagenome	Verongiida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.3.D5.229.1181586	Webster.3.D5.229.1181586	6/14/12	Webster	Australia	12	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.D5.229	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.D5.229	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.2.E9.150.1181073	Webster.2.E9.150.1181073	1/14/12	Webster	Australia	1	Rhopaloeides oil 1.6% 24h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.E9.150	476028.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.2.E9.150	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.1.B9.21.1181601	Webster.1.B9.21.1181601	6/15/08	Webster	Australia	15	Ianthella basta (H)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Ianthella basta	Ianthella basta	Healthy	Webster.1.B9.21	375146.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.B9.21			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Spain	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	16.3
10793.Webster.1.G9.81.1181347	Webster.1.G9.81.1181347	7/1/10	Webster	Australia	8	Coelocarteria singaporensis (oceanapia)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coelocarteria singaporensis	Coelocarteria singaporensis	Healthy	Webster.1.G9.81	281036.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.G9.81			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Free-living	Saline	Water (saline)	10793	Missing: Not provided	seawater	Spain	marine metagenome	Not applicable	1740	408172	SpongeMicrobiome Project	18.5
10793.Webster.3.H10.282.1181916	Webster.3.H10.282.1181916	10/19/11	Webster	Australia	16	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.H10.282	593584.0	EMP_Thomas_sponges_16S_L008	-16.75408	Adult	145.98733	Webster.3.H10.282	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Green Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	26.8
10793.Webster.3.A12.200.1182046	Webster.3.A12.200.1182046	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.A12.200	593584.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.3.A12.200	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Tethyida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.3.A3.191.1181234	Webster.3.A3.191.1181234	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.A3.191	593584.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.3.A3.191	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Tethyida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.4.A12.294.1181216	Webster.4.A12.294.1181216	8/15/12	Webster	Australia	0	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.4.A12.294	593584.0	EMP_Thomas_sponges_16S_L008	-16.75408	Adult	145.98733	Webster.4.A12.294	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Green Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	26.8
10793.Webster.3.E9.245.1181500	Webster.3.E9.245.1181500	4/23/12	Webster	Australia	1.5	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.E9.245	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.E9.245	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.4.D10.328.1181686	Webster.4.D10.328.1181686	12/20/10	Webster	Australia	Missing:not provided	Coscinoderma larvae 4	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D10.328	1162776.0	EMP_Thomas_sponges_16S_L008	-18.68543	Adult	146.51218	Webster.4.D10.328	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Fantome Island, Juno Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.4
10793.Webster.3.F9.257.1181296	Webster.3.F9.257.1181296	4/21/12	Webster	Australia	1.5	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.F9.257	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.F9.257	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.4.G7.361.1182168	Webster.4.G7.361.1182168	11/4/12	Webster	Papua New Guinea	5	Cinachyra sp. Bubble Site	True	0		ocean biome	reef	organic material feature	host-associated	Papua New Guinea	Cinachyra sp.	Cinachyrella alloclada	Healthy	Webster.4.G7.361	666329.0	EMP_Thomas_sponges_16S_L008	-9.75403	Adult	143.41833	Webster.4.G7.361	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Torres Strait	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	27.6
10793.Webster.5.B11.399.1182237	Webster.5.B11.399.1182237	6/27/08	Webster	Australia	12	Paratetilla sp (1)	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Paratetilla sp (1)	Paratetilla sp.	Healthy	Webster.5.B11.399	885877.0	EMP_Thomas_sponges_16S_L008	-18.68543	Larvae	146.51218	Webster.5.B11.399	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
10793.Webster.2.C8.125.1181546	Webster.2.C8.125.1181546	1/14/12	Webster	Australia	1	Rhopaloeides disp 0% 2h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.C8.125	476028.0	EMP_Thomas_sponges_16S_L008	-18.82257	Adult	147.63755	Webster.2.C8.125	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Axinellida	1740	1163772	SpongeMicrobiome Project	23.5
10793.Webster.5.E4.428.1181249	Webster.5.E4.428.1181249	9/26/12	Webster	Australia	12	Seawater Davies Reef	True	0		ocean biome	reef	ocean water	water	Australia	Seawater	marine metagenome	Healthy	Webster.5.E4.428	408172.0	EMP_Thomas_sponges_16S_L008	-18.81723	Larvae	147.63252	Webster.5.E4.428	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Davies Reef	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.5
10793.Webster.4.D5.323.1181099	Webster.4.D5.323.1181099	12/15/10	Webster	Australia	Missing:not provided	Coscinoderma larvae 0	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D5.323	1162776.0	EMP_Thomas_sponges_16S_L008	-18.5996	Adult	146.49222	Webster.4.D5.323	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island, Little Pioneer Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.6
10793.Webster.3.G8.268.1181575	Webster.3.G8.268.1181575	10/24/98	Webster	Australia	0	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.G8.268	593584.0	EMP_Thomas_sponges_16S_L008	-16.75408	Adult	145.98733	Webster.3.G8.268	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Green Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	26.8
10793.Webster.4.G12.366.1181720	Webster.4.G12.366.1181720	11/4/12	Webster	Papua New Guinea	5	Coelocarteria singaporensis Control Site	True	0		ocean biome	reef	organic material feature	host-associated	Papua New Guinea	Coelocarteria singaporensis	Coelocarteria singaporensis	Healthy	Webster.4.G12.366	281036.0	EMP_Thomas_sponges_16S_L008	-20.64983	Adult	116.43683	Webster.4.G12.366	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Dampier, Western Australia	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	Missing: Not provided
10793.Webster.4.D6.324.1182318	Webster.4.D6.324.1182318	12/16/10	Webster	Australia	Missing:not provided	Coscinoderma larvae 1	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D6.324	1162776.0	EMP_Thomas_sponges_16S_L008	-18.5996	Adult	146.49222	Webster.4.D6.324	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island, Little Pioneer Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.6
10793.Webster.4.D2.320.1181147	Webster.4.D2.320.1181147	12/12/10	Webster	Australia	Missing:not provided	Coscinoderma larvae control	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Coscinoderma matthewsi	Coscinoderma sp.	Stressed	Webster.4.D2.320	1162776.0	EMP_Thomas_sponges_16S_L008	-18.68543	Adult	146.51218	Webster.4.D2.320	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Fantome Island, Juno Bay	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28.4
10793.Webster.1.A5.5.1182089	Webster.1.A5.5.1182089	7/23/12	Webster	Guam	12	Ianthella Healthy	True	0		ocean biome	reef	organic material feature	host-associated	Guam	Ianthella basta	Ianthella basta	Healthy	Webster.1.A5.5	375146.0	EMP_Thomas_sponges_16S_L008	41.72	Adult	2.94	Webster.1.A5.5			Sponge Microbiome Project	Missing: Not provided	University of Barcelona, UNC Wilmington	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Spain	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	20
10793.Webster.2.G12.177.1181270	Webster.2.G12.177.1181270	1/14/12	Webster	Australia	1	Rhopaloeides oil + disp 25% 24h	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Rhopaloeides odorabile	Rhopaloeides odorabile	Stressed	Webster.2.G12.177	476028.0	EMP_Thomas_sponges_16S_L008	-18.56028	Adult	146.48462	Webster.2.G12.177	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	22.2
10793.Webster.5.A1.377.1182426	Webster.5.A1.377.1182426	5/21/09	Webster	Australia	12	Iotrochota sp.	True	0		ocean biome	reef	organic material feature	host-associated	Australia	Iotrochota sp.	Iotrochota sp.	Healthy	Webster.5.A1.377	283496.0	EMP_Thomas_sponges_16S_L008	-18.68543	Adult	146.51218	Webster.5.A1.377	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Orpheus Island	sponge metagenome	Haplosclerida	1740	1163772	SpongeMicrobiome Project	28.4
10793.Webster.3.B8.208.1181868	Webster.3.B8.208.1181868	4/9/12	Webster	Taiwan	10	Carteriospongia foliascens	True	0		ocean biome	reef	organic material feature	host-associated	Taiwan	Carteriospongia foliascens	Carteriospongia foliascens	Healthy	Webster.3.B8.208	593584.0	EMP_Thomas_sponges_16S_L008	-18.84478	Larvae	147.64401999999995	Webster.3.B8.208	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	Missing: Not provided	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	R. odorabile Larvae Hydrocarbon Expt	sponge metagenome	Dictyoceratida	1740	1163772	SpongeMicrobiome Project	28
